name_coin,symbol_coin,id,uuid,number_of_markets,volume,market_cap,total_supply,price,percent_change_24hr,timestamp
Shiba Inu,SHIB,0,xz24e0BjL,0,323219165,6370831862,0,0.000010806371256036,-2.60,1682040381
TRON,TRX,0,qUhEFk1I61atv,0,316172642,6124388467,0,0.0664621981272131,-1.11,1682040381
Avalanche,AVAX,0,dvUj0CzDZ,0,316863341,5603428103,0,18.633308318225666,-3.18,1682040381
Dai,DAI,0,MoTuySvg7,0,75755893,5040632915,0,1.011327253266908,-0.05,1682040381
Uniswap,UNI,0,_H5FVG9iW,0,94287764,4724388346,0,5.881101010759435,-1.09,1682040381
Wrapped BTC,WBTC,0,x4WXHge-vvFY,0,58774749,4567035611,0,28581.13241113327,-2.04,1682040381
Cosmos,ATOM,0,Knsels4_Ol-Ny,0,181166301,3796117119,0,11.534930739981114,-3.61,1682040381
Toncoin,TON,0,67YlI0K1b,0,21519098,3384311228,0,2.2966415274005185,-0.28,1682040381
Wrapped liquid staked Ether 2.0,WSTETH,0,CiixT63n3,0,10721001,3125461101,0,2211.9356337700538,2.57,1682040381
Monero,XMR,0,3mVx2FX_iJFp5,0,103256484,2842081375,0,156.09995692659973,-0.31,1682040381
Ethereum Classic,ETC,0,hnfQfsYfeIGUQ,0,310186864,2814784477,0,20.369438702314444,-1.59,1682040381
Internet Computer (DFINITY),ICP,0,aMNLwaUbY,0,70478610,2584008495,0,5.954628469834792,-4.34,1682040381
Lido DAO Token,LDO,0,Pe93bIOD2,0,79623887,2549905666,0,2.179680910215237,-4.66,1682040381
Bitcoin Cash,BCH,0,ZlZpzOJo43mIo,0,148701283,2389623421,0,124.90583195707508,-1.75,1682040381
Immutable X,IMX,0,Z96jIvLU7,0,54478586,1980986091,0,0.9904930475806142,-5.72,1682040381
Stellar,XLM,0,f3iaFeCKEmkaZ,0,62454567,1953497782,0,0.09668137407757399,-2.17,1682040381
ARBITRUM,ARB,0,1Uo6s62Oc,0,1180905742,1870103783,0,1.4667480648119249,-4.78,1682040381
Filecoin,FIL,0,ymQub4fuB,0,262511429,1853369539,0,5.661353995686454,-2.67,1682040381
Huobi Token,HT,0,DXwP4wF9ksbBO,0,7599574,1848671315,0,3.697342647349759,-1.24,1682040381
Frax Share,FXS,0,3nNpuxHJ8,0,44945929,1609975350,0,9.205293484516247,1.19,1682040381
VeChain,VET,0,FEbS54wxo4oIl,0,84796156,1567151634,0,0.023474149683198223,-3.65,1682040381
Hedera,HBAR,0,jad286TjB,0,53199784,1550875238,0,0.06269145543498354,-1.55,1682040381
Trust Wallet Token,TWT,0,Hm3OlynlC,0,29017328,1526273671,0,1.2572290065470182,-2.73,1682040381
The Sandbox,SAND,0,pxtKbG5rg,0,79411643,1464978839,0,0.6241985839857701,-3.91,1682040381
